1,dcoll$19933,omegacoll$21033,thetacoll$21034,focus$21035
2,0.0034000000000000002,0.00045493234995662196,-0.0033557959244461394,0.13556564596832016
3,0.0034000000000000002,0.00047184688683253297,-0.0032288051567735815,0.14613617862473194
4,0.0047,0.0005780239209512561,-0.0034885527718337417,0.16569093658716863
5,0.0057,0.0006766507800391024,-0.0030197270368106516,0.22407612179932823
6,0.0585,0.004996600133940387,-0.00338560490595341,1.4758311090174927
7,0.0063,0.0007245321661291832,-0.0032641951146549497,0.22196270976114943
8,0.0079,0.0009522593708298296,-0.0030285777387760587,0.31442364750019625
9,0.0095,0.0011064443341334072,-0.0028568542822425685,0.38729358052469504
10,0.012700000000000001,0.0013133638846097675,-0.002889822487884386,0.45447782142825094
11,0.019100000000000002,0.0019967022748739833,-0.0032658721427400866,0.6113819184312033
12,0.0212,0.0022332622925488304,-0.003349002242490448,0.6668415789400967
13,0.0268,0.002634798497454754,-0.003449313223980066,0.7638587385243871
14,0.1678,0.0027480194349898445,-0.0034895927087697717,0.7874868243586591
15,0.0757,0.006129859647557315,-0.0034573758560601797,1.7729733411755584
16,0.035500000000000004,0.0034744827459950865,-0.003291549060765328,1.055572963971224
17,dcoll$21096,omegacoll$21097,thetacoll$21098,focus$21099
18,0.0146,0.0015742294716610302,-0.0032386806886922637,0.4860695199421629
19,0.053200000000000004,0.004273558067030286,-0.003450629936184002,1.238481432236373
20,0.08310000000000001,0.006411734544730082,-0.003428563394708539,1.8700862965498446
21,0.0198,0.0025620857389663217,-0.0034178670988812554,0.7496124595344484
22,0.024800000000000003,0.002937494460326675,-0.003273882614602347,0.8972477975318175
23,0.034,0.0033207152592306852,-0.0034084557694170625,0.9742542149052208
24,0.4398,0.025205665620049715,-0.003434873908669811,7.338134429871263
25,0.041800000000000004,0.004151676306042387,-0.0034584523318275384,1.200438622570412
26,0.10980000000000001,0.008591247694042927,-0.0034842962886257045,2.465695284073995
27,dcoll$21136,omegacoll$21137,thetacoll$21138,focus$21139
28,dcoll$21140,omegacoll$21141,thetacoll$21142,focus$21143
29,dcoll$21144,omegacoll$21145,thetacoll$21146,focus$21147
30,0.0436,0.0035368978224973,-0.0034368099100418326,1.0291182781463928
31,0.0897,0.0077703607495381,-0.0034625550039807523,2.2441028913286916
32,0.8804000000000001,0.007252608151727415,-0.0025012503228283023,2.899587042852472
33,0.044700000000000004,0.00442121054745403,-0.0034497468448733692,1.281599261531825
34,0.0752,0.007004550368710206,-0.0034059283075266664,2.056568034076658
35,0.09240000000000001,0.008726742365722975,-0.003434575622052044,2.540840270108885
36,0.13540000000000002,0.010118009524689867,-0.0034641983562500867,2.9207245110846696
37,0.196,0.01805159199377489,-0.0034970609769150174,5.161911252320453
38,0.2736,0.025837579735534355,-0.003478685841258683,7.427366739078594
39,0.23220000000000002,0.021852904176174255,-0.003486968234805793,6.266995893033012
40,0.6388,0.05973336003027285,-0.003486461662194573,17.13287676439043
41,0.8761,0.07984974744961193,-0.003494284413690929,22.851437664143955
42,0.0655,0.006673822313153276,-0.0034827787252932896,1.91622720121061